Year,Country / territory of asylum/residence,Origin,Refugees (incl. refugee-like situations),Asylum-seekers (pending cases),Returned refugees,Internally displaced persons (IDPs),Returned IDPs,Stateless persons,Others of concern,Total Population
#date+year,#country+residence,#country+origin,#affected+refugees,#affected+asylum,#affected+returned_refugees,#affected+idps,#affected+returned_idps,#affected+stateless,#affected+others,#affected+total
1951,Turkey,Various/Unknown,2700,,,,,,,2700
1952,Turkey,Various/Unknown,2000,,,,,,,2000
1953,Turkey,Various/Unknown,2000,,,,,,,2000
1954,Turkey,Various/Unknown,2500,,,,,,,2500
1955,Turkey,Various/Unknown,2200,,,,,,,2200
1956,Turkey,Various/Unknown,2100,,,,,,,2100
1957,Turkey,Various/Unknown,2200,,,,,,,2200
1958,Turkey,Various/Unknown,2150,,,,,,,2150
1959,Turkey,Various/Unknown,2150,,,,,,,2150
1960,Turkey,Various/Unknown,2200,,,,,,,2200
1961,Turkey,Various/Unknown,2300,,,,,,,2300
1962,Turkey,Various/Unknown,2300,,,,,,,2300
1963,Turkey,Various/Unknown,2300,,,,,,,2300
1964,Turkey,Various/Unknown,2300,,,,,,,2300
1965,Turkey,Various/Unknown,2000,,,,,,,2000
1966,Turkey,Various/Unknown,1900,,,,,,,1900
1967,Turkey,Various/Unknown,1850,,,,,,,1850
1968,Turkey,Various/Unknown,1980,,,,,,,1980
1969,Turkey,Albania,370,,,,,,,370
1969,Turkey,Bulgaria,90,,,,,,,90
1969,Turkey,Hungary,90,,,,,,,90
1969,Turkey,Serbia and Kosovo (S/RES/1244 (1999)),130,,,,,,,130
1969,Turkey,Various/Unknown,720,,,,,,,720
1970,Turkey,Albania,390,,,,,,,390
1970,Turkey,Bulgaria,320,,,,,,,320
1970,Turkey,Hungary,90,,,,,,,90
1970,Turkey,Romania,50,,,,,,,50
1970,Turkey,Serbia and Kosovo (S/RES/1244 (1999)),150,,,,,,,150
1970,Turkey,Various/Unknown,170,,,,,,,170
1971,Turkey,Albania,390,,,,,,,390
1971,Turkey,Bulgaria,340,,,,,,,340
1971,Turkey,Hungary,90,,,,,,,90
1971,Turkey,Romania,60,,,,,,,60
1971,Turkey,Serbia and Kosovo (S/RES/1244 (1999)),140,,,,,,,140
1971,Turkey,Various/Unknown,130,,,,,,,130
1972,Turkey,Albania,390,,,,,,,390
